Province	Abbreviation	SummaryDate	TotalCases	DailyTotals	TotalRecovered	DailyRecovered	TotalDeaths	DailyDeaths	TotalTested	DailyTested	TotalActive	DailyActive	TotalHospitalized	DailyHospitalized	TotalICU	DailyICU	TotalVaccinated	DailyVaccinated	TotalDose1	DailyDose1	TotalDose2	DailyDose2	TotalBooster	DailyBooster
SASKATCHEWAN	SK	07/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REPATRIATED	RC	07/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QUEBEC	QC	07/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEI	PE	07/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ONTARIO	ON	07/02/2020	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
NWT	NT	07/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YUKON	YT	07/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOVA SCOTIA	NS	07/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NL	NL	07/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEW BRUNSWICK	NB	07/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANITOBA	MB	07/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC	BC	07/02/2020	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ALBERTA	AB	07/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUNAVUT	NU	07/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YUKON	YT	08/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SASKATCHEWAN	SK	08/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REPATRIATED	RC	08/02/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
